Company,City,State,Zip,License #,Website,Phone,Email,Demo URL,Notes
AC Electric Energy,La Grande,OR,97850,C1519,,(541) 963-2024,,https://canyon-ridge-demo.vercel.app/biz/ac-electric-energy/,Single-source match (Procore listing) — no independent site/BBB/Yelp found.
Aaken CORP,Bend,OR,97701,C194,,(541) 330-9545,,https://canyon-ridge-demo.vercel.app/biz/aaken-corp/,Phone high-confidence (BBB/Yelp/Yellow Pages consistent). Listed domain aakencorp.com currently has an SSL/host mismatch — do not link to it.
Aaron Hodge Electric,Brookings,OR,97415,C2135,,(541) 661-2337,aaronhodgeelectric@gmail.com,https://canyon-ridge-demo.vercel.app/biz/aaron-hodge-electric/,Phone confirmed via BBB directly. Email came from a search snippet (source page returned 403) — light sanity-check recommended before relying on it.
Ab Electric CO,North Plains,OR,97133,34-35C,,(503) 314-7174,abelectric955@gmail.com,https://canyon-ridge-demo.vercel.app/biz/ab-electric-co/,Matched via IBEW Local 48 official contractor directory.
Abc Electric,Tualatin,OR,97062,26-1226C,http://www.abc-electric.net/,(503) 233-7551,,https://canyon-ridge-demo.vercel.app/biz/abc-electric/,"High confidence (family-owned since 1954, CCB #161501). Site has no published email, phone-only."
Abiqua Electric LLC,Brooks,OR,97305,24-459C,https://www.abiquaelectricllc.com,(503) 390-0831,abiquaelectric@gmail.com,https://canyon-ridge-demo.vercel.app/biz/abiqua-electric-llc/,High confidence — matched via own site contact page.
Abney Solar Electrix,Prineville,OR,97754,C177,https://abneysolarelectrix.com,(541) 923-6000,,https://canyon-ridge-demo.vercel.app/biz/abney-solar-electrix/,"High confidence (CCB #108442, 30+ yrs in business). No email published."
Aboveboard Electric INC,Newport,OR,97365,21-114C,https://www.aboveboardoregon.com,(541) 574-2948,info@aboveboardoregon.com,https://canyon-ridge-demo.vercel.app/biz/aboveboard-electric-inc/,"High confidence, BBB-accredited. Branded 'Aboveboard Electric & Plumbing'."
Abs Electric LLC,Oregon City,OR,97045,26-1218C,,(503) 888-7676,,https://canyon-ridge-demo.vercel.app/biz/abs-electric-llc/,No official site found. Minor phone discrepancy across directories — (503) 888-7676 is the one confirmed directly on BuildZoom.
Ac&e Electric; Peci,Aurora,OR,97002,3-246C,https://www.acandeelectric.com,(503) 363-2301,info@acandeelectric.com,https://canyon-ridge-demo.vercel.app/biz/acande-electric-peci/,"High confidence match to 'AC&E Electric Company LLC' (commercial/industrial, since 1959). The 'Peci' fragment in the directory name is unexplained/likely a data artifact — disregarded."
